index,va,p,m,d,longitude,latitude
3133,0.0,0.0,1.0,0.5,86,0.0
3135,0.0,0.0,1.0,0.5,87,0.0
3201,0.7360066124496935,102.4248630673088,1.0,0.5,88,0.0
3202,0.7789398805453722,84.76651456605674,1.0,0.5,89,0.0
3203,0.4521679095741501,-4.087518346356702,1.0,0.5,90,0.0
3204,0.4510156092605312,-22.972049647227536,1.0,0.5,91,0.0
3205,0.7428113878183191,71.60816300156692,1.0,0.5,92,0.0
3234,0.0,0.0,1.0,0.5,93,0.0
3301,0.6836823480507884,130.31558499660153,1.0,0.5,94,0.0
3302,0.6837335716383639,61.04315990051482,1.0,0.5,95,0.0
3303,0.2727403150094316,-10.81862312886511,1.0,0.5,96,0.0
3304,0.3507300935236347,-20.079818866183153,1.0,0.5,97,0.0
3305,0.2730275620310533,-8.372101069629341,1.0,0.5,98,0.0
3333,0.0,0.0,1.0,0.5,99,0.0
3401,0.4658575122899374,70.4169213494628,1.0,0.5,100,0.0
3402,0.4405049350258659,-0.8784676806677568,1.0,0.5,101,0.0
3403,0.395472959950763,44.29051611336341,1.0,0.5,102,0.0
3404,-0.1204782237937514,-38.00836589996766,1.0,0.5,103,0.0
3405,-0.1220288608814708,-24.598587458519713,1.0,0.5,104,0.0
3432,0.0,0.0,1.0,0.5,105,0.0
3433,0.0,0.0,1.0,0.5,106,0.0
3501,-0.2165087266852701,-15.00406976335898,1.0,0.5,107,0.0
3531,0.0,0.0,1.0,0.5,108,0.0
3601,-0.4892860942871853,-16.95378012083109,1.0,0.5,109,0.0
3631,0.0,0.0,1.0,0.5,110,0.0
3701,0.413465152623034,14.326581864969993,1.0,0.5,111,0.0
3731,0.0,0.0,1.0,0.5,112,0.0
3801,0.4135324898492755,20.721501930047264,1.0,0.5,113,0.0
3802,0.4140830855711751,46.769226872335,1.0,0.5,114,0.0
3803,-0.0195184889215722,-30.27619026677195,1.0,0.5,115,0.0
3804,-0.3668001513363908,-76.50910789301844,1.0,0.5,116,0.0
3805,-0.3815283898918229,-13.219971929723593,1.0,0.5,117,0.0
3806,0.0,25.929609883167487,1.0,0.5,118,0.0
